"DATA (YYYY-MM-DD)","temp_avg"
2020-06-27,"21.6208333333333"
2020-06-28,"19.1041666666667"
2020-06-29,"19.0958333333333"
2020-06-30,"20.1291666666667"
2020-07-01,"24.625"
2020-07-02,"19.6458333333333"
2020-07-03,"19.0666666666667"
2020-07-04,"18.7"
2020-07-05,"20.0208333333333"
2020-07-06,"21.225"
2020-07-07,"21.2666666666667"
2020-07-08,"23.3958333333333"
2020-07-09,"20.2708333333333"
2020-07-10,"18.8416666666667"
2020-07-11,"20.8666666666667"
2020-07-12,"23.2083333333333"
2020-07-13,"23.9458333333333"
2020-07-14,"20.0791666666667"
2020-07-15,"18.1583333333333"
2020-07-16,"18.3625"
2020-07-17,"18.7458333333333"
2020-07-18,"20.2666666666667"
2020-07-19,"20.6416666666667"
2020-07-20,"20.0291666666667"
2020-07-21,"19.9291666666667"
2020-07-22,"20.8375"
2020-07-23,"19.9458333333333"
2020-07-24,"20.8541666666667"
2020-07-25,"21.8791666666667"
2020-07-26,"20.7041666666667"
2020-07-27,"22.1041666666667"
2020-07-28,"22.8958333333333"
2020-07-29,"21.9708333333333"
2020-07-30,"19.15"
2020-07-31,"18.9166666666667"
2020-08-01,"19.6"
2020-08-02,"18.8583333333333"
2020-08-03,"17.85"
2020-08-04,"18.1125"
2020-08-05,"19.1541666666667"
2020-08-06,"19.3708333333333"
2020-08-07,"19.4458333333333"
2020-08-08,"19.2625"
2020-08-09,"19.6416666666667"
2020-08-10,"20.4958333333333"
2020-08-11,"21.3333333333333"
2020-08-12,"20.85"
2020-08-13,"22.2416666666667"
2020-08-14,"23.7625"
2020-08-15,"24.0708333333333"
2020-08-16,"20.4666666666667"
2020-08-17,"22.3625"
2020-08-18,"22.925"
2020-08-19,"23.1"
2020-08-20,"21.55"
2020-08-21,"18.0333333333333"
2020-08-22,"16.5708333333333"
2020-08-23,"17.1458333333333"
2020-08-24,"17.1875"
2020-08-25,"17.6208333333333"
2020-08-26,"17.7041666666667"
2020-08-27,"19.2208333333333"
2020-08-28,"21.9708333333333"
2020-08-29,"23.8375"
2020-08-30,"24.8083333333333"
2020-08-31,"22.4916666666667"
2020-09-01,"22.7625"
2020-09-02,"22.5"
2020-09-03,"23.9333333333333"
2020-09-04,"26.4333333333333"
2020-09-05,"22.5916666666667"
2020-09-06,"22.1583333333333"
2020-09-07,"21.5875"
2020-09-08,"22.4416666666667"
2020-09-09,"22.2833333333333"
2020-09-10,"24.6208333333333"
2020-09-11,"22.5541666666667"
2020-09-12,"25.975"
2020-09-13,"23.6375"
2020-09-14,"26.4375"
2020-09-15,"22.9916666666667"
2020-09-16,"23.8125"
2020-09-17,"24.9125"
2020-09-18,"23.9041666666667"
2020-09-19,"24.1583333333333"
2020-09-20,"22.0833333333333"
2020-09-21,"22.575"
2020-09-22,"19.4625"
2020-09-23,"20.1166666666667"
2020-09-24,"22.0083333333333"
2020-09-25,"22.3875"
2020-09-26,"22.8791666666667"
2020-09-27,"26.4375"
2020-09-28,"25.15"
2020-09-29,"24.5"
2020-09-30,"25.8541666666667"
2020-10-01,"27.2166666666667"
2020-10-02,"28.7708333333333"
2020-10-03,"25.3833333333333"
2020-10-04,"23.1708333333333"
2020-10-05,"24.2833333333333"
2020-10-06,"25.1375"
2020-10-07,"25.1666666666667"
2020-10-08,"25.0708333333333"
2020-10-09,"23.8291666666667"
2020-10-10,"22.4125"
2020-10-11,"20.1"
2020-10-12,"21.7625"
2020-10-13,"23.7125"
2020-10-14,"25.1541666666667"
2020-10-15,"23.1333333333333"
2020-10-16,"21.0375"
2020-10-17,"20.525"
2020-10-18,"21.7416666666667"
2020-10-19,"23.9166666666667"
2020-10-20,"24.2083333333333"
2020-10-21,"23.5208333333333"
2020-10-22,"22.8916666666667"
2020-10-23,"22.2583333333333"
2020-10-24,"22.8958333333333"
2020-10-25,"24.0916666666667"
2020-10-26,"22.6708333333333"
2020-10-27,"23.8125"
2020-10-28,"26.0416666666667"
2020-10-29,"23.8083333333333"
2020-10-30,"22.6916666666667"
2020-10-31,"20.125"
2020-11-01,"19.4625"
2020-11-02,"19.45"
2020-11-03,"19.8291666666667"
2020-11-04,"20.6875"
2020-11-05,"19.5166666666667"
2020-11-06,"20.0916666666667"
2020-11-07,"20.6166666666667"
2020-11-08,"22.0208333333333"
2020-11-09,"23.7583333333333"
2020-11-10,"24.0916666666667"
2020-11-11,"23.7125"
2020-11-12,"24.1"
2020-11-13,"24.0541666666667"
2020-11-14,"24.2541666666667"
2020-11-15,"24.8625"
2020-11-16,"26.6"
2020-11-17,"25.0208333333333"
2020-11-18,"22.2666666666667"
