Day,Holiday: (United States)
2023-01-06,33
2023-01-07,26
2023-01-08,25
2023-01-09,34
2023-01-10,30
2023-01-11,30
2023-01-12,34
2023-01-13,40
2023-01-14,30
2023-01-15,40
2023-01-16,100
2023-01-17,33
2023-01-18,23
2023-01-19,21
2023-01-20,22
2023-01-21,16
2023-01-22,18
2023-01-23,25
2023-01-24,21
2023-01-25,21
2023-01-26,22
2023-01-27,19
2023-01-28,16
2023-01-29,17
2023-01-30,25
2023-01-31,21
2023-02-01,23
2023-02-02,21
