Day,Valentine's Day: (United States)
2023-01-06,30
2023-01-07,34
2023-01-08,32
2023-01-09,36
2023-01-10,36
2023-01-11,37
2023-01-12,38
2023-01-13,37
2023-01-14,40
2023-01-15,41
2023-01-16,44
2023-01-17,47
2023-01-18,46
2023-01-19,49
2023-01-20,46
2023-01-21,47
2023-01-22,50
2023-01-23,58
2023-01-24,61
2023-01-25,65
2023-01-26,69
2023-01-27,65
2023-01-28,61
2023-01-29,65
2023-01-30,77
2023-01-31,90
2023-02-01,100
2023-02-02,100
